model,time,acc,loss,val_acc,val_loss
model-1720839340,1720839505.636,0.79,0.137,0.72,0.2055
model-1720839340,1720839505.694,0.79,0.1622,0.5,0.2909
model-1720839340,1720839505.757,0.79,0.1476,0.72,0.1633
model-1720839340,1720839505.814,0.82,0.1412,0.84,0.1268
model-1720839340,1720839505.867,0.85,0.1118,0.66,0.1941
model-1720839340,1720839505.934,0.85,0.1408,0.88,0.135
model-1720839340,1720839506.049,0.81,0.1368,0.94,0.1139
model-1720839340,1720839506.185,0.69,0.1771,0.69,0.1947
model-1720839340,1720839506.27,0.75,0.1588,0.69,0.2015
model-1720839340,1720839506.349,0.8,0.1482,0.88,0.0975
model-1720839340,1720839506.416,0.73,0.1817,0.62,0.19
model-1720839340,1720839506.476,0.75,0.1774,0.75,0.2071
model-1720839340,1720839506.536,0.68,0.1941,0.78,0.1577
model-1720839340,1720839506.593,0.71,0.201,0.72,0.1963
model-1720839340,1720839506.665,0.8,0.1442,0.88,0.0971
model-1720839340,1720839506.731,0.83,0.1527,0.59,0.2593
model-1720839340,1720839506.786,0.78,0.1737,0.84,0.1461
model-1720839340,1720839506.854,0.73,0.1791,0.72,0.1771
model-1720839340,1720839506.92,0.7,0.1927,0.62,0.2225
model-1720839340,1720839507.0,0.74,0.1731,0.72,0.1914
model-1720839340,1720839507.067,0.76,0.1426,0.72,0.1475
model-1720839340,1720839507.141,0.85,0.1181,0.69,0.2119
model-1720839340,1720839507.203,0.72,0.1951,0.59,0.2335
model-1720839340,1720839507.268,0.72,0.1719,0.75,0.1937
model-1720839340,1720839507.345,0.81,0.1375,0.69,0.2143
model-1720839340,1720839507.457,0.72,0.1971,0.78,0.1822
model-1720839340,1720839507.531,0.75,0.1702,0.78,0.1726
model-1720839340,1720839507.612,0.8,0.1434,0.78,0.1346
model-1720839340,1720839507.677,0.85,0.1145,0.75,0.1657
model-1720839340,1720839507.749,0.78,0.1677,0.66,0.2159
model-1720839340,1720839507.816,0.72,0.1721,0.78,0.1694
model-1720839340,1720839507.875,0.79,0.1463,0.69,0.1789
model-1720839340,1720839507.981,0.75,0.1714,0.78,0.1679
model-1720839340,1720839508.06,0.79,0.13,0.69,0.1907
model-1720839340,1720839508.178,0.81,0.1383,0.72,0.1651
model-1720839340,1720839508.272,0.78,0.144,0.81,0.1124
model-1720839340,1720839508.403,0.8,0.1322,0.56,0.2291
model-1720839340,1720839508.481,0.74,0.1585,0.59,0.2562
model-1720839340,1720839508.579,0.77,0.1689,0.62,0.2516
model-1720839340,1720839508.724,0.73,0.1675,0.69,0.2118
model-1720839340,1720839508.819,0.77,0.1585,0.75,0.1371
model-1720839340,1720839508.886,0.82,0.137,0.72,0.171
model-1720839340,1720839508.952,0.81,0.1481,0.81,0.1303
model-1720839340,1720839509.036,0.75,0.1645,0.75,0.1795
model-1720839340,1720839509.122,0.76,0.1527,0.84,0.1308
model-1720839340,1720839509.2,0.79,0.1409,0.78,0.1478
model-1720839340,1720839509.277,0.84,0.131,0.59,0.2005
model-1720839340,1720839509.339,0.75,0.1569,0.69,0.1716
model-1720839340,1720839509.4,0.72,0.1719,0.88,0.1134
model-1720839340,1720839509.475,0.81,0.1481,0.81,0.1533
model-1720839340,1720839509.567,0.79,0.1581,0.72,0.1737
model-1720839340,1720839509.63,0.86,0.1167,0.81,0.1282
model-1720839340,1720839509.71,0.83,0.147,0.62,0.2238
model-1720839340,1720839509.793,0.77,0.1599,0.75,0.1775
model-1720839340,1720839509.869,0.81,0.1309,0.72,0.2153
model-1720839340,1720839510.024,0.85,0.1092,0.72,0.1885
